jobadder_type,jobadder_source,classification,reason,activity_contact_rows,distinct_activities,earliest_activity,latest_activity
ROI-AI,Note,EXCLUDE,Automated campaign or tracking activity,69379,69379,2023-01-18T17:45:06Z,2026-05-30T19:30:30Z
Outbound Call,Note,CALL,Genuine outbound telephone activity,23758,23758,2020-06-30T14:05:32Z,2026-06-22T20:54:53Z
Roi-AI Email Sent,Note,EXCLUDE,Automated campaign activity,13851,13851,2024-05-19T13:30:02Z,2024-05-26T15:08:30Z
Email Received,Email,INBOUND_EMAIL,Samples confirm received email,13834,13221,2023-03-08T14:03:15Z,2026-06-22T23:16:07Z
ROI Newsletter Sent,Note,EXCLUDE,Automated newsletter activity,6762,6762,2022-08-19T14:45:04Z,2022-10-27T17:25:12Z
Left message OR No Answer,Note,CALL,Telephone attempt,6132,6132,2022-04-06T18:33:41Z,2026-05-07T16:12:32Z
Email Reply,Email,NOTE,Direction is inconsistent; preserve safely as a note,5414,4852,2023-03-08T14:10:47Z,2026-06-22T20:34:42Z
Status Change,Status,EXCLUDE,Administrative record history,5085,5085,2020-06-30T14:46:13Z,2026-06-15T13:09:22Z
Contact Moved,Process,EXCLUDE,Administrative record history,3699,2034,2020-06-30T14:20:03Z,2026-06-18T16:25:58Z
Client Relationship Call (CRC),Note,CALL,Relationship telephone activity,3609,3597,2022-04-03T15:30:35Z,2026-06-08T15:52:26Z
Email Sent,Email,OUTBOUND_EMAIL,Email source and sent type,3354,3014,2022-04-03T15:18:57Z,2026-06-22T23:04:24Z
Missed Call,Note,CALL,Telephone activity,3038,3038,2020-06-30T15:34:57Z,2026-06-22T16:15:50Z
Sent email,Email,OUTBOUND_EMAIL,Email source and sent type,2590,2586,2020-06-30T18:11:31Z,2026-03-19T15:01:15Z
Update,Note,NOTE,Manual contact history,1701,1699,2020-06-30T14:02:45Z,2026-06-15T15:18:43Z
Sent email,Note,OUTBOUND_EMAIL,SourceWhale or manually captured outbound email,1537,1534,2020-07-06T14:52:57Z,2026-03-10T10:21:52Z
Left message,Note,CALL,Telephone attempt,1434,1434,2020-06-30T14:05:06Z,2022-04-06T15:37:55Z
Inbound Call,Note,CALL,Genuine inbound telephone activity,1418,1418,2020-06-30T19:35:53Z,2026-06-21T23:39:15Z
Phone call,Note,CALL,Telephone activity,1302,1302,2020-06-30T14:27:33Z,2022-04-06T15:47:56Z
Intro New Business Client Relationship Call,Note,CALL,Introductory telephone activity,961,961,2022-04-18T13:30:17Z,2025-08-17T12:50:15Z
Phone call - KIT Client Call (Keep in Touch),Note,CALL,Keep-in-touch telephone activity,890,890,2022-04-10T18:11:18Z,2025-10-19T18:53:08Z
LinkedIn InMail / LinkedIn Other,Note,NOTE,LinkedIn interaction,725,725,2022-04-11T18:18:51Z,2026-05-11T15:43:35Z
