jobadder_type,jobadder_source,classification,reason
Outbound Call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Inbound Call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Phone call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Phone call - KIT Client Call (Keep in Touch),*,NOTE,Approved notes-only migration policy preserves this activity as a note
Missed Call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Left message,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Left message OR No Answer,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Client Relationship Call (CRC),Note,NOTE,Approved notes-only migration policy preserves this activity as a note
Intro Business Call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Intro New Business Client Relationship Call,*,NOTE,Approved notes-only migration policy preserves this activity as a note
Email sent,Email,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Sent email,Email,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Sent email,Note,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Email Received,Email,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Received email,Email,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Received email,Note,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Email Reply,Email,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
Email Reply,Note,NOTE,Notes-only policy; authoritative email-envelope metadata is unavailable
LinkedIn InMail / LinkedIn Other,*,NOTE,LinkedIn interaction
LinkedIn Inmail,*,NOTE,LinkedIn interaction
Sent LinkedIn voice note,*,NOTE,LinkedIn interaction
SMS Received,*,NOTE,SMS preserved as a labelled note
SMS,*,NOTE,SMS preserved as a labelled note
WhatsApp SMS,*,NOTE,Messaging activity preserved as a note
Update,Note,NOTE,Manual contact history
Canvassed - Sale (Positive),Note,NOTE,Manual business development history
Sapture Existing Client Meeting - Booked,Note,NOTE,Meeting details are not reliably structured
New Client Meeting - Booked,Note,NOTE,Meeting details are not reliably structured
Meeting Booked,Note,NOTE,Meeting details are not reliably structured
Sapture Meeting Attended - Notes,Note,NOTE,Manual meeting history
Meeting Attended with Notes,Note,NOTE,Manual meeting history
New Business Development Meeting,Note,NOTE,Manual meeting history
Quil,Note,NOTE,Call summary retained as a note
Float Candidate(s),Note,NOTE,Candidate-submission history retained on the contact
ROI-AI,*,EXCLUDE,Automated campaign or tracking activity
Roi-AI Email Sent,*,EXCLUDE,Automated campaign activity
ROI Newsletter Sent,*,EXCLUDE,Automated newsletter activity
S/4HANA Survey Email opened & Clicked,*,EXCLUDE,Automated tracking activity
Status Change,*,EXCLUDE,Administrative record history
Qualified Prospect,Status,EXCLUDE,Administrative status history
Unqualified Prospect,Status,EXCLUDE,Administrative status history
Dead Prospect,Status,EXCLUDE,Administrative status history
Hot Prospect,Status,EXCLUDE,Administrative status history
Working Prospect,Status,EXCLUDE,Administrative status history
Contact Moved,*,EXCLUDE,Administrative record history
Contact Merge,*,EXCLUDE,Administrative record history
Spreadsheet Import,*,EXCLUDE,Administrative import history
Quality Lead Pulled,*,EXCLUDE,Internal workflow activity
Pre-Lead Pulled,*,EXCLUDE,Internal workflow activity
Manager Names,*,EXCLUDE,Internal workflow activity
Lusha / Seek / LI No Details,*,EXCLUDE,Internal data-enrichment workflow
Lusha Details,*,EXCLUDE,Internal data-enrichment workflow
Document Sent,Document,EXCLUDE,Document audit event
Document Signed,Document,EXCLUDE,Document audit event
